filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE_old,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an,min_val_norm,max_val_norm,AE_unc,LSTMAE,LSTMAE_unc,AE
KPI-f0932edd-6400-3e63-9559-0a9860a1baa9.test.out,0.873600347,0.534658691,0.743437911,0.818935372,0.844126382,0.544682483,0.555984856,0.834942382,0.646698831,0.782706619,0.54052796,0.698677516,IOPS,6.0,0.056324686,50,145.08,6.5,927.7127969,128789,0,1,0,sequence,3.125,50.0,0.6663310858923018,0.6664207815487974,0.6618981877427821,0.6617542140460914
KPI-ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa.test.out,0.85882915,0.771655746,0.930399431,0.943815482,0.807077765,0.338340641,0.648582569,0.756811102,0.511793312,0.854645629,0.388533403,0.548276963,IOPS,11.0,0.052972419,18,379.0,3.0,1517.715242,128784,0,1,0,sequence,0.333333343267,4.75,0.4118372501656302,0.411837246938622,0.4387222202797425,0.5018786722042342
1.test.out,0.58972129,0.960904117,0.890401607,0.623735258,0.541150913,0.503223479,0.547642787,0.500870976,0.791717778,0.553339237,0.574893787,0.559745338,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.266436863247102,1.650997763845886,0.5930648296593186,0.5930649298597195,0.6705586673346693,0.803707765531062
10.test.out,0.573316641,0.999455255,0.913809557,0.515505917,0.616513993,0.547183313,0.427427379,0.544744887,0.612805314,0.482063873,0.521193073,0.56023873,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2666664026827574,1.651801367504683,0.61773374248497,0.6177336673346694,0.6669597945891784,0.7398685871743487
2.test.out,0.509943486,0.999431658,0.965585702,0.513205869,0.547686475,0.464723619,0.463911713,0.459357684,0.725749131,0.607424373,0.610515636,0.5493036,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2657635546902879,1.6511268251421731,0.5785734719438878,0.5785733466933868,0.6533763527054108,0.7818225450901803
3.test.out,0.745618017,0.946271631,0.911387238,0.483446052,0.655686079,0.684216901,0.600213229,0.731582631,0.608437309,0.559284762,0.589296511,0.699652527,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2662499657349828,1.6510067394755912,0.6306745991983967,0.6306746993987976,0.708875375751503,0.7730530310621243
4.test.out,0.488901492,0.999408912,0.994804883,0.646690974,0.481408256,0.389659841,0.370343691,0.379953056,0.752019459,0.594002345,0.622084916,0.480991092,MGAB,103.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2657681533163809,1.6519029983801856,0.5306967685370741,0.5416529559118236,0.6250263527054107,0.9038678857715432
5.test.out,0.513385304,0.962783645,0.932822122,0.53615174,0.537365004,0.425362003,0.492429934,0.444448667,0.729494785,0.48491811,0.564634741,0.562628458,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2658257456706122,1.6519754999583784,0.552090130260521,0.5520901052104208,0.6620225951903808,0.7982805611222445
6.test.out,0.616481353,0.9841294,0.941261886,0.516881407,0.581170929,0.595904819,0.578989494,0.579699271,0.701346782,0.523444749,0.572416081,0.531522109,MGAB,48.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2655301700958273,1.6511216415295984,0.5880736472945891,0.5880736472945891,0.7333822645290581,0.7742826152304609
7.test.out,0.661785714,0.999245609,0.917100397,0.499953682,0.626513793,0.564719135,0.547032084,0.561842879,0.666011583,0.544197637,0.562856266,0.579560316,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.266436818462609,1.6515961314764056,0.5887809118236472,0.5887809368737476,0.6785181863727454,0.7889386773547094
8.test.out,0.587297794,0.976538367,0.835028758,0.500127807,0.620178784,0.576629175,0.583976919,0.578454544,0.661653899,0.529194381,0.608821005,0.612335094,MGAB,49.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2662332095409344,1.6503032896165508,0.5985514028056111,0.598551878757515,0.7285059368737474,0.7327155561122245
9.test.out,0.669276245,0.980525256,0.830174476,0.641973442,0.587674952,0.616369728,0.592167381,0.582192156,0.722672221,0.52454714,0.547900981,0.575491237,MGAB,48.0,0.002,10,20.0,20.0,0.0,100000,0,1,0,sequence,0.2660656333189983,1.6517521648359208,0.6290491733466934,0.6290490731462925,0.6596387274549098,0.7924971693386773
NAB_data_CloudWatch_1.out,0.676757231,0.8319573,0.611263774,0.376303719,0.505295455,0.998952479,0.552207645,0.848380165,0.288387052,0.375522727,0.383672865,0.702121212,NAB,289.0,0.09923096,2,200.0,200.0,0.0,4031,0,1,0,sequence,0.066,1.6,0.616449669512531,0.6164500137703113,0.4316162902781603,0.7346984301845222
NAB_data_CloudWatch_10.out,0.644578582,0.474779493,0.491041896,0.711136983,0.568678109,0.648599958,0.53316521,0.661768679,0.579769633,0.546347987,0.544580022,0.622749675,NAB,10.0,0.099727115,3,134.0,134.0,0.0,4031,0,1,0,sequence,0.0,767613000.0,0.4741359337235015,0.4741362764573384,0.5312820027720313,0.576691151571983
NAB_data_CloudWatch_11.out,0.695701824,0.604570518,0.410022997,0.533643113,0.606574693,0.567164179,0.560686438,0.690531288,0.437611762,0.393736595,0.464127475,0.810383035,NAB,50.0,0.099727115,1,402.0,402.0,0.0,4031,0,1,0,sequence,38516.6,4206500.0,0.5927787351476292,0.5927783924137922,0.5696099277654165,0.7525036706793945
NAB_data_CloudWatch_12.out,0.828642216,0.456926463,0.691344771,0.714539842,0.552124817,0.8083446,0.733569557,0.846089419,0.726466175,0.593854787,0.516048878,0.745626314,NAB,11.0,0.099809685,2,236.0,236.0,0.0,4729,0,1,0,sequence,42.0,8164340.0,0.6305302731692167,0.6305302731692168,0.5003573376651815,0.708216377412278
NAB_data_CloudWatch_13.out,0.684091598,0.692199725,0.207302342,0.744873623,0.516360193,0.680802686,0.235907369,0.757650826,0.150242769,0.429400138,0.463183884,0.625096419,NAB,125.0,0.09923096,2,200.0,200.0,0.0,4031,0,1,0,sequence,1.0,369.0,0.469413040484715,0.469416138804737,0.6133592674194437,0.5425819333516937
NAB_data_CloudWatch_14.out,0.577614351,0.483078665,0.483792268,0.673330959,0.515909638,0.585130229,0.489785393,0.499873733,0.602014856,0.543285357,0.536250335,0.69018825,NAB,16.0,0.1,3,154.0,154.0,0.0,4620,0,1,0,sequence,0.0,44.4864,0.614308671126853,0.614308671126853,0.5625852422389219,0.6335848695156054
NAB_data_CloudWatch_15.out,0.775503942,0.842514512,0.421322234,0.221095532,0.534322927,0.734271667,0.38327028,0.758486874,0.23236564,0.266959309,0.282680423,0.80873307,NAB,202.0,0.099838969,2,62.0,62.0,0.0,1242,0,1,0,sequence,789781.0,61519397.0,0.7965765479831497,0.7965765479831497,0.8933002481389579,0.7492966991747938
NAB_data_CloudWatch_16.out,0.895916667,0.41490978,0.280252755,0.631869146,0.728989325,0.871876377,0.54109332,0.882438361,0.634129821,0.487428375,0.393573691,0.931363636,NAB,125.0,0.09923096,2,200.0,200.0,0.0,4031,0,1,0,sequence,5.19,17.2667,0.9250557697603966,0.9250557697603966,0.9191076838336546,0.7821151198017074
NAB_data_CloudWatch_17.out,0.760432163,0.662824725,0.539100551,0.700884986,0.511710055,0.655032713,0.82543354,0.637758609,0.826940427,0.49677376,0.532859504,0.833116391,NAB,6.0,0.09923096,2,200.0,200.0,0.0,4031,0,1,0,sequence,12.628,32.5,0.5279909115946021,0.5279909115946021,0.4944133847424952,0.5443342054530432
NAB_data_CloudWatch_2.out,0.707336777,0.641208333,0.582807163,0.585333333,0.538726928,0.671474174,0.477948347,0.724094697,0.640688705,0.562098485,0.500055785,0.755137741,NAB,6.0,0.09923096,2,200.0,200.0,0.0,4031,0,1,0,sequence,1.63,2.65,0.5369732855962545,0.5369732855962545,0.5320683007435968,0.548638804736987
NAB_data_CloudWatch_3.out,0.73782438,0.885860537,0.830238981,0.907242424,0.526712121,0.50602135,0.708187328,0.633952479,0.566098485,0.499816804,0.534500689,0.715798898,NAB,8.0,0.09923096,2,200.0,200.0,0.0,4031,0,1,0,sequence,35.278,56.408,0.5566758468741393,0.5566758468741393,0.5893527953731754,0.5345318094188929
NAB_data_CloudWatch_4.out,0.720502024,0.467301722,0.481392994,0.410990458,0.530473322,0.735488763,0.659544409,0.720781772,0.598132203,0.583694674,0.526946648,0.738725063,NAB,17.0,0.099727115,1,402.0,402.0,0.0,4031,0,1,0,sequence,0.064,99.898,0.5014994605369405,0.5014984323354295,0.5798213397054408,0.6005800427457642
